YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2016,8,"98,434","16,234",cargurus
2016,8,"33,630","19,900",autotrader
2016,8,"43,000","16,500",craiglist
2014,10,"20,863","23,588",autotrader
2017,7,"84,603","15,599",autotrader
2016,8,"5,188","27,000",autotrader
2018,6,"77,629","21,999",autotrader
2019,5,"73,552","25,995",cargurus
2008,16,"95,492","5,995",cargurus
2019,5,"59,084","25,447",cargurus
2014,10,"103,025","8,589",cargurus
2013,11,"88,269","13,300",cargurus
2012,12,"94,348","9,563",cargurus
2013,11,"91,777","12,119",cargurus
2010,14,"94,320","8,635",cargurus